family_letter,family_code,family_label,family_production_enabled,observation_raw_key,observation_label,observation_short_label,disposition,source,definition,boolean_question,yes_meaning,yes_label,yes_message,no_meaning,no_message,plain_language_copy,mapped_messages,notes
D,evidence_source_chain,Evidence and sources,true,has_evidence,Evidence,Evidence,rendered_now,auto_metadata,Evidence is attached to this move.,Does this move have at least one piece of evidence attached as auto-metadata?,"Auto-metadata fact: the move has evidence-typed attachments (source URL, quote, document, etc.) recorded in the move metadata.",Evidence,Evidence attached,No evidence-typed attachments are recorded for this move.,not observed / did not fire,Evidence attached,Evidence; Evidence attached; Evidence is attached to this move.,
D,evidence_source_chain,Evidence and sources,true,source_requested,Source asked,Source asked,rendered_now,auto_metadata,A source has been requested for this move.,Does this move have a source request attached as auto-metadata?,Auto-metadata: a participant has explicitly tagged this move with a source-request action.,Source asked,Source requested,No source request is recorded.,not observed / did not fire,Source requested,Source asked; Source requested; A source has been requested for this move.,
D,evidence_source_chain,Evidence and sources,true,quote_requested,Quote asked,Quote asked,rendered_now,auto_metadata,A direct quote has been requested for this move.,Does this move have a quote request attached as auto-metadata?,Auto-metadata: a participant has explicitly tagged this move with a quote-request action.,Quote asked,Quote requested,No quote request is recorded.,not observed / did not fire,Quote requested,Quote asked; Quote requested; A direct quote has been requested for this move.,
D,evidence_source_chain,Evidence and sources,true,source_attached,Source,Source,rendered_now,auto_metadata,A source is attached to this move.,Does this move have a source URL or citation attached as auto-metadata?,Auto-metadata: at least one source URL or citation is attached to the move.,Source,Source attached,No source attachment exists.,not observed / did not fire,Source attached,Source; Source attached; A source is attached to this move.,
D,evidence_source_chain,Evidence and sources,true,quote_attached,Quote,Quote,rendered_now,auto_metadata,A direct quote is attached to this move.,Does this move have a direct quote attached as auto-metadata?,"Auto-metadata: at least one quote is attached, identifying the source's direct words.",Quote,Quote attached,No quote attachment exists.,not observed / did not fire,Quote attached,Quote; Quote attached; A direct quote is attached to this move.,
D,evidence_source_chain,Evidence and sources,true,sourced,Sourced,Sourced,rendered_now,lifecycle,A source has been attached in this cluster.,Is this cluster in the sourced lifecycle state — a source has been attached in response to a source request?,"Lifecycle state: the cluster had a source request, and at least one source has been attached.",Sourced,Source attached,"No source request, OR source request is open with no attachment.",not observed / did not fire,Source attached,Sourced; Source attached; A source has been attached in this cluster.,
D,evidence_source_chain,Evidence and sources,true,quote_requested,Quote asked,Quote asked,rendered_now,lifecycle,A direct quote has been requested.,Is this cluster in the quote_requested lifecycle state — a quote request is open?,Lifecycle state: an open quote request exists in the cluster.,Quote asked,Quote requested,"No quote request, or quote request is closed by attachment.",not observed / did not fire,Quote requested,Quote asked; Quote requested; A direct quote has been requested.,
D,evidence_source_chain,Evidence and sources,true,source_requested,Source asked,Source asked,rendered_now,lifecycle,A source has been requested.,Is this cluster in the source_requested lifecycle state — a source request is open?,Lifecycle state: an open source request exists in the cluster.,Source asked,Source requested,"No source request, or source request is closed by attachment.",not observed / did not fire,Source requested,Source asked; Source requested; A source has been requested.,
D,evidence_source_chain,Evidence and sources,true,asks_for_evidence,Evidence requested,Evidence?,future_source,ai_classifier,Evidence is requested here.,Does this move ask the parent (or a prior move) to produce evidence for a claim?,"The move contains an explicit evidence request: ""what is your source?""; ""where does that number come from?""; ""can you cite something?"".",Evidence requested,(none),"The move asks for clarification of meaning (requests_clarification, Family C), challenges substantively (challenges_parent), or provides evidence itself.",not observed / did not fire,(none),Evidence requested; Evidence?; Evidence is requested here.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,provides_evidence,Evidence provided,Evidence,future_source,ai_classifier,Evidence is provided here.,"Does this move provide evidence (source, citation, quote, data) for a claim?","The move attaches or references substantive evidence: a citation, a source URL, a quote, a data point with attribution.",Evidence provided,(none),"The move asserts a claim without evidence (evidence_gap_present), or makes a value claim that does not require evidence, or asks for evidence.",not observed / did not fire,(none),Evidence provided; Evidence; Evidence is provided here.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,evidence_supports_claim,Evidence matched to claim,Matched,inspect_only,ai_classifier,Evidence appears to match the claim.,Does the evidence attached to this move actually support the specific claim being made?,"The evidence (source, quote, data) attached is relevant to the claim and is being used in a way consistent with what the source says.",Evidence matched to claim,(none),"The evidence does not match the claim (wrong scope, wrong population, cherry-picked, mischaracterized), OR no evidence is attached.",not observed / did not fire,(none),Evidence matched to claim; Matched; Evidence appears to match the claim.,inspect-only
D,evidence_source_chain,Evidence and sources,true,creates_source_chain_gap,Source gap,Source gap,future_source,ai_classifier,A gap in the source chain has appeared.,Does this move introduce a source-chain gap — a claim that depends on a source that is not provided or whose chain to the primary source is broken?,The move makes a claim citing a secondary or tertiary source without linking back to the primary source (or fails to cite at all when the source is required).,Source gap,(none),"The move cites primary sources cleanly, OR repairs a prior gap (source_chain_repair), OR makes a claim that does not require sourcing.",not observed / did not fire,(none),Source gap; A gap in the source chain has appeared.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,opens_evidence_debt_marker,Evidence debt opened,Debt open,future_source,ai_classifier,An evidence debt was opened.,Does this move open an evidence debt — a claim that has not yet been backed by evidence and is now visible as a pending obligation?,"The move makes a claim that requires evidence but provides none, AND the system marks the claim as creating an evidence-debt ledger entry.",Evidence debt opened,Good pressure — an evidence debt opened.,"The move provides evidence, closes prior debt, or makes a non-evidence-requiring claim.",not observed / did not fire,(none),Evidence debt opened; Debt open; Good pressure — an evidence debt opened.; An evidence debt was opened.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,closes_evidence_debt_marker,Evidence debt answered,Debt closed,future_source,ai_classifier,An evidence debt was answered.,Does this move close a prior open evidence debt by providing the required evidence?,The move attaches evidence that closes an outstanding evidence-debt ledger entry from a prior move.,Evidence debt answered,(none),"The move opens new debt, provides evidence for a current claim without a prior open debt, or does not engage with evidence.",not observed / did not fire,(none),Evidence debt answered; Debt closed; An evidence debt was answered.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,supplies_corroborating_document,Corroborating document,Corroborated,future_source,ai_classifier,A corroborating document was supplied.,Does this move supply a corroborating document — additional independent evidence supporting a claim that already had some evidence?,"The move supplies a SECOND or LATER piece of evidence for a claim, from an INDEPENDENT source.",Corroborating document,(none),"The move provides the first evidence (provides_evidence), supplies an additional source from the same provider, or restates existing evidence.",not observed / did not fire,(none),Corroborating document; Corroborated; A corroborating document was supplied.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,source_provided,Source provided,Source +,future_source,ai_classifier,This move provides a source.,"Does this move provide a source for a claim, either its own claim or one in the parent / prior move?",The move names a source (citation / URL / DOI / institution) in service of a claim. Move-intrinsic act distinct from source_attached (auto-metadata fact).,Source provided,(none),"The move asks for a source (asks_for_evidence), mentions a source without using it as backing, or makes a claim without sourcing.",not observed / did not fire,(none),Source provided; Source +; This move provides a source.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,quote_provided,Quote provided,Quote +,future_source,ai_classifier,This move provides a direct quote.,Does this move provide a direct quote from a source in service of a claim?,"The move includes verbatim quoted text from a source (paper, statute, article, transcript) and uses it as backing for a claim.",Quote provided,(none),"The move paraphrases without quoting, asks for a quote (asks_for_evidence in quote form), or quotes the parent (quote_anchors_parent in Family A).",not observed / did not fire,(none),Quote provided; Quote +; This move provides a direct quote.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,concrete_example_requested,Example asked,Example?,future_source,ai_classifier,A concrete example is requested.,Does this move ask the parent (or prior move) to provide a concrete example for an abstract claim?,"The move requests a concrete example: ""what is an example of that?""; ""can you point to a specific case?""; ""have you seen this work somewhere?"".",Example asked,(none),"The move asks for evidence in general (asks_for_evidence), asks for clarification (requests_clarification), or makes a substantive challenge.",not observed / did not fire,(none),Example asked; Example?; A concrete example is requested.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,concrete_example_provided,Example provided,Example +,future_source,ai_classifier,A concrete example is provided.,Does this move provide a concrete example for an abstract claim?,"The move names a specific case (city, year, person, document) that exemplifies an abstract claim, in service of supporting the claim.",Example provided,(none),"The move provides general evidence (provides_evidence), or asks for an example, or makes the abstract claim alone.",not observed / did not fire,(none),Example provided; Example +; A concrete example is provided.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,evidence_claim_present,Evidence claim,Evid claim,future_source,ai_classifier,This move makes a claim about evidence.,"Does this move make a substantive claim ABOUT evidence — its existence, quality, applicability, or interpretation?","The move's claim is about evidence itself: ""the evidence shows X""; ""no evidence supports Y""; ""the data is mixed"". Meta-evidence framing.",Evidence claim,(none),"The move uses evidence to support a substantive non-evidence claim, asks for evidence, or makes a claim without evidence reference.",not observed / did not fire,(none),Evidence claim; Evid claim; This move makes a claim about evidence.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,evidence_gap_present,Evidence gap,Evid gap,future_source,ai_classifier,This move makes a claim that would normally require evidence but does not provide one.,"Does this move make a factual / empirical / statistical claim WITHOUT providing a source, quote, study citation, or other evidence?","The move asserts a fact, a statistic, a causal claim, or a specific historical event without attaching evidence and without explicitly marking it as opinion / hypothesis / hedged.",Evidence gap,(none),"(a) source / quote / link attached, OR (b) explicitly hedged (""I think"", ""probably""), OR (c) value claim, OR (d) pure question.",not observed / did not fire,(none),Evidence gap; Evid gap; This move makes a claim that would normally require evidence but does not provide one.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,source_chain_repair,Source chain repaired,Chain fix,future_source,ai_classifier,This move repairs a prior source-chain gap by adding the primary source.,Does this move repair a prior source-chain gap by adding the primary source or filling the missing link?,A prior move had creates_source_chain_gap. This move provides the primary source or fills the missing chain link.,Source chain repaired,(none),"The move provides general evidence without addressing a prior gap, opens new debt, or makes a non-evidence claim.",not observed / did not fire,(none),Source chain repaired; Chain fix; This move repairs a prior source-chain gap by adding the primary source.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,anecdote_used,Anecdote,Anecdote,future_source,ai_classifier,This move uses an anecdote as support.,Does this move use a personal anecdote or single-case story as support for a claim?,"The move provides a single experiential case (""when I worked at X"", ""I knew someone who"", ""in my city"") in support of a broader claim.",Anecdote,(none),"The move provides systematic evidence, multiple cases, or makes a claim without an anecdote.",not observed / did not fire,(none),Anecdote; This move uses an anecdote as support.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,statistic_used,Statistic,Statistic,future_source,ai_classifier,This move uses a statistic as support.,"Does this move use a statistic (percentage, ratio, rate, count, average) as support for a claim?",The move cites a numerical statistic in support of a claim.,Statistic,(none),"The move makes a claim without statistics, OR mentions a number that is not statistical (a year, a phone number, an ID).",not observed / did not fire,(none),Statistic; This move uses a statistic as support.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,external_authority_used,External authority,Ext auth,future_source,ai_classifier,This move appeals to an external authority as evidence.,"Does this move appeal to an external authority (named expert, institution, body of work) as evidence for a claim?","The move cites an external authority (the IPCC; the World Bank; a named expert) in support of a claim. Distinct from authority_reasoning_present (Family E scheme) — this is the evidence-act, not the scheme.",External authority,(none),"The move provides primary data without authority appeal, OR uses authority reasoning without an external authority citation.",not observed / did not fire,(none),External authority; Ext auth; This move appeals to an external authority as evidence.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,evidence_quality_questioned,Evidence quality questioned,Qual?,future_source,ai_classifier,This move questions the quality of evidence the parent cited.,"Does this move challenge the QUALITY of evidence the parent cited (methodology, sample size, source credibility)?","The move targets the evidence itself: ""that study has methodological problems""; ""the sample size was small""; ""the source is partisan"". Distinct from disputes_evidence_applicability (which accepts quality but disputes fit).",Evidence quality questioned,(none),"The move accepts the evidence quality and disputes applicability (disputes_evidence_applicability), or makes a substantive counter-claim, or accepts both quality and applicability.",not observed / did not fire,(none),Evidence quality questioned; Qual?; This move questions the quality of evidence the parent cited.,future-source (not rendered in v1)
D,evidence_source_chain,Evidence and sources,true,burden_request_present,Burden of proof,Burden?,future_source,ai_classifier,This move invokes a burden-of-proof argument.,Does this move invoke a burden-of-proof argument — claiming the parent has the burden to prove a position and has not met it?,"""The burden of proof is on you""; ""until you show X, the default is Y""; ""extraordinary claims require extraordinary evidence"". Meta-evidence framing about who must produce evidence.",Burden of proof,(none),"The move asks for evidence directly (asks_for_evidence), provides evidence, or makes a substantive challenge.",not observed / did not fire,(none),Burden of proof; Burden?; This move invokes a burden-of-proof argument.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,causal_reasoning_present,Causal reasoning,Causal,future_source,ai_classifier,This move uses causal reasoning as its primary support.,Does this move use cause-and-effect reasoning (X causes Y) as its primary support?,"The move argues from a cause to its effect, or from an effect to a likely cause. The causal claim is doing the inferential work, not merely incidental.",Causal reasoning,(none),"The move uses correlation without claiming causation, evidence without inferential structure, or definitional / analogical / value reasoning.",not observed / did not fire,(none),Causal reasoning; Causal; This move uses causal reasoning as its primary support.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,analogy_reasoning_present,Analogy reasoning,Analogy,future_source,ai_classifier,This move uses an analogy as its primary support.,Does this move use an analogy (mapping the case under discussion to a different case) as its primary form of support?,"The move advances its position by drawing a comparison to a different case / domain / situation, with the implication that what is true of the comparison applies to the case at hand.",Analogy reasoning,(none),"The move uses direct evidence, examples-of-the-same-case, definitional argument, or causal reasoning. A passing comparison ('like a library') without inferential weight is NOT analogy reasoning.",not observed / did not fire,(none),Analogy reasoning; Analogy; This move uses an analogy as its primary support.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,example_reasoning_present,Example reasoning,Example,future_source,ai_classifier,This move uses one or more examples as its primary support.,Does this move use one or more concrete examples-of-the-same-kind as its primary support?,The move advances a generalization or claim and supports it with specific examples from the same domain (not analogical mappings to a different domain).,Example reasoning,(none),"The move uses analogical mapping (analogy_reasoning_present), direct numerical evidence, or definitional / causal reasoning. A passing example without inferential weight is not example reasoning.",not observed / did not fire,(none),Example reasoning; Example; This move uses one or more examples as its primary support.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,authority_reasoning_present,Authority reasoning,Authority,future_source,ai_classifier,This move appeals to an authority as its primary support.,"Does this move appeal to an authority (expert, institution, body of literature) as its primary support, where the inferential weight rests on the authority?","The move cites an authority and the argument rests on the authority's credibility: 'the IPCC says X'; 'leading economists agree'; 'the medical consensus is'. The authority is the warrant, not just an attribution.",Authority reasoning,(none),"The move cites an authority along with substantive evidence the authority used (mixed authority + evidence), or paraphrases an authority's reasoning without leaning on the authority's status.",not observed / did not fire,(none),Authority reasoning; Authority; This move appeals to an authority as its primary support.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,consequence_reasoning_present,Consequence reasoning,Consequence,future_source,ai_classifier,This move argues from the consequences of an action.,Does this move argue from the predicted consequences of an action or policy as its primary support?,"The move advocates for or against an option based on predicted consequences: 'X will lead to Y, and Y is good/bad'. The consequence prediction is doing the inferential work.",Consequence reasoning,(none),"The move appeals to principle, definition, or precedent rather than consequence; or notes consequences as side facts without basing the argument on them.",not observed / did not fire,(none),Consequence reasoning; Consequence; This move argues from the consequences of an action.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,principle_reasoning_present,Principle reasoning,Principle,future_source,ai_classifier,This move argues from a principle or rule.,"Does this move argue from a stated principle or general rule, applying the principle to the case at hand?",The move identifies a principle ('all people should be treated equally'; 'free speech requires content-neutral platforms') and argues the case follows from the principle.,Principle reasoning,(none),"The move argues from consequences, evidence, or examples rather than a principle. Mention of principle as background without it being the warrant is not principle reasoning.",not observed / did not fire,(none),Principle reasoning; Principle; This move argues from a principle or rule.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,definition_reasoning_present,Definition reasoning,Definition,future_source,ai_classifier,This move argues from a definition.,"Does this move argue from a definition (the case at hand falls under or out of a definition, and the conclusion follows)?","The move applies a definition: 'X falls under the definition of Y, therefore X has Y\'s properties / treatments'. The definitional fit is the warrant.",Definition reasoning,(none),"The move uses evidence, principle, consequence, or example rather than definition. Mention of a definition as background is not definition reasoning.",not observed / did not fire,(none),Definition reasoning; Definition; This move argues from a definition.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,classification_reasoning_present,Classification reasoning,Classify,future_source,ai_classifier,This move argues from a classification.,Does this move argue by classifying the case into a category and applying category-level conclusions?,"The move classifies the case ('this is a federal jurisdiction matter'; 'this is a tort case, not a contract case') and applies the category's general treatment.",Classification reasoning,(none),"The move applies a definition without classification (definition_reasoning_present), or uses evidence within an accepted category, or reasons by case-specific facts without categorization.",not observed / did not fire,(none),Classification reasoning; Classify; This move argues from a classification.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,precedent_reasoning_present,Precedent reasoning,Precedent,future_source,ai_classifier,This move argues from precedent.,Does this move argue from precedent (a prior decision or established practice that should govern the present case)?,"The move identifies a precedent and argues the present case should follow it: 'in case X, the court decided Y; the present case is similar, so Y should apply'. The precedent is the warrant.",Precedent reasoning,(none),The move uses a precedent as background or comparison without claiming it should govern. The move argues from first principles or fresh evidence.,not observed / did not fire,(none),Precedent reasoning; Precedent; This move argues from precedent.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,means_end_reasoning_present,Means-end reasoning,Means-end,future_source,ai_classifier,This move argues by means-end (practical) reasoning.,Does this move use means-end (practical) reasoning — arguing that a specific action will achieve a stated end?,The move identifies a goal and argues a specific action is the means to achieve it: 'we want X; doing Y will achieve X'. Walton's practical reasoning scheme.,Means-end reasoning,(none),"The move argues from consequences as good/bad (consequence_reasoning_present) rather than goal-instrument fit, or uses other schemes.",not observed / did not fire,(none),Means-end reasoning; Means-end; This move argues by means-end (practical) reasoning.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,tradeoff_reasoning_present,Tradeoff reasoning,Tradeoff,future_source,ai_classifier,This move uses tradeoff reasoning.,"Does this move argue by explicitly balancing tradeoffs between competing values, costs, or outcomes?",The move identifies multiple competing considerations and argues for a position based on the balance: 'X gives us A but costs us B; on balance A outweighs B because...'.,Tradeoff reasoning,(none),"The move advances one consideration without balancing, dismisses the competing one, or uses cost-benefit specifically (cost_benefit_reasoning_present).",not observed / did not fire,(none),Tradeoff reasoning; Tradeoff; This move uses tradeoff reasoning.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,abductive_explanation_present,Abductive explanation,Abductive,future_source,ai_classifier,This move uses abductive (inference-to-best-explanation) reasoning.,Does this move use abductive reasoning — inferring the best explanation for observed evidence?,The move identifies an observation and infers a likely cause / explanation as the best account: 'we see X; the best explanation for X is Y'. Inference to best explanation.,Abductive explanation,(none),"The move uses direct causal claim without explanatory framing (causal_reasoning_present), or uses observation as evidence for a hypothesized cause without claiming it is the BEST explanation.",not observed / did not fire,(none),Abductive explanation; Abductive; This move uses abductive (inference-to-best-explanation) reasoning.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,exception_reasoning_present,Exception reasoning,Exception,future_source,ai_classifier,This move argues by identifying an exception to a general rule.,Does this move argue that the present case is an exception to a general rule the parent invoked?,"The parent invoked a general rule; the move argues the present case is an exception: 'usually X, but here the special circumstance Y makes X not apply'. Toulmin rebuttal scheme.",Exception reasoning,(none),"The move challenges the general rule itself (challenges_parent), or extends the rule, or proposes a different rule.",not observed / did not fire,(none),Exception reasoning; Exception; This move argues by identifying an exception to a general rule.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,slippery_slope_reasoning_present,Slippery-slope reasoning,Slippery,future_source,ai_classifier,This move argues via a chain of consequences (slippery slope).,"Does this move argue against a proposed action by claiming it will lead to a chain of further consequences, each leading to the next?","The move argues 'if we do X, that will lead to X1, which will lead to X2, which will lead to a bad final state'. A multi-step consequence chain.",Slippery-slope reasoning,(none),The move argues from a single direct consequence (consequence_reasoning_present) or from independent multiple consequences not linked in a chain.,not observed / did not fire,(none),Slippery-slope reasoning; Slippery; This move argues via a chain of consequences (slippery slope).,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,cost_benefit_reasoning_present,Cost-benefit reasoning,Cost-benefit,future_source,ai_classifier,This move uses cost-benefit reasoning.,Does this move use explicit cost-benefit reasoning — quantifying costs and benefits and arguing the net is positive or negative?,The move identifies measurable costs and measurable benefits and argues for or against based on the net. Common in policy and economic reasoning.,Cost-benefit reasoning,(none),"The move uses qualitative tradeoff (tradeoff_reasoning_present) without quantifying, or argues from principle / consequence without cost-benefit framing.",not observed / did not fire,(none),Cost-benefit reasoning; Cost-benefit; This move uses cost-benefit reasoning.,future-source (not rendered in v1)
E,argument_scheme,The shape of the argument,true,risk_reasoning_present,Risk reasoning,Risk,future_source,ai_classifier,This move uses risk-based reasoning.,Does this move argue by identifying a risk (probability × magnitude of harm) and using the risk as primary support?,The move identifies a low-probability high-magnitude outcome (or vice versa) and argues from the risk: 'X has a 5% chance of catastrophic outcome Y; that risk justifies precaution'.,Risk reasoning,(none),The move argues from direct consequence prediction (consequence_reasoning_present) or expected value (cost_benefit_reasoning_present) without framing the argument around risk.,not observed / did not fire,(none),Risk reasoning; Risk; This move uses risk-based reasoning.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,missing_warrant,Warrant not explicit,Warrant?,future_source,ai_classifier,The reasoning link between this move's grounds and its claim is not explicit.,Does this move present a claim + grounds without making the warrant (the rule licensing claim from grounds) explicit?,"The move provides grounds (data / evidence / examples) and a claim, but the reasoning link between them is implicit. A reader could reasonably ask 'WHY does that ground support that claim?'.",Warrant not explicit,(none),"(a) Grounds + explicit warrant present, OR (b) pure question / clarification / paraphrase, OR (c) claim trivially entailed by ground, OR (d) pure value claim without empirical ground.",not observed / did not fire,(none),Warrant not explicit; Warrant?; The reasoning link between this move's grounds and its claim is not explicit.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,unstated_assumption,Unstated assumption,Assump?,future_source,ai_classifier,This move relies on an assumption it does not state.,Does this move's reasoning depend on an assumption that the move does not explicitly state?,"The move's reasoning requires a premise to hold, but the premise is not stated in the move. Identifying the assumption opens productive inquiry.",Unstated assumption,(none),"The move states all premises explicitly, the move is a pure question / paraphrase, or the move uses a premise that is universally shared in the context.",not observed / did not fire,(none),Unstated assumption; Assump?; This move relies on an assumption it does not state.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,authority_basis_missing,Authority basis missing,Auth?,future_source,ai_classifier,This move appeals to an authority without grounding the appeal.,Does this move appeal to an authority without naming the authority's specific expertise or basis for the claim at hand?,The move cites 'experts say' / 'scientists agree' / 'leading economists' without naming who or what backs the appeal. Walton's critical question for the authority scheme.,Authority basis missing,(none),"The move names the specific authority and the relevant expertise, OR does not use authority reasoning at all, OR cites the authority alongside the specific evidence the authority used.",not observed / did not fire,(none),Authority basis missing; Auth?; This move appeals to an authority without grounding the appeal.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,causal_mechanism_missing,Causal mechanism missing,Mech?,future_source,ai_classifier,This move claims causation without proposing a mechanism.,Does this move claim cause-and-effect without proposing a mechanism that explains how the cause produces the effect?,"The move asserts X causes Y but does not propose HOW: through what process, what intermediate steps. Walton critical question for causal scheme.",Causal mechanism missing,(none),"The move proposes a mechanism (X causes Y through the process P), OR notes correlation without claiming causation, OR uses non-causal reasoning.",not observed / did not fire,(none),Causal mechanism missing; Mech?; This move claims causation without proposing a mechanism.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,analogy_mapping_missing,Analogy mapping missing,Map?,future_source,ai_classifier,This move uses an analogy without specifying the mapping.,Does this move use an analogy without specifying WHICH features of the source case map to the target case?,The move draws an analogy (X is like Y) but does not specify what features of Y bear on X. Walton critical question for analogy scheme.,Analogy mapping missing,(none),"The move specifies the mapping (X is like Y in respect R, which is relevant because...), OR does not use analogy at all.",not observed / did not fire,(none),Analogy mapping missing; Map?; This move uses an analogy without specifying the mapping.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,example_representativeness_unclear,Example representativeness unclear,Rep?,future_source,ai_classifier,This move uses examples without showing they are representative.,Does this move use examples to support a generalization without showing the examples are representative of the relevant population?,The move cites examples but does not address whether the examples generalize: 'Pittsburgh and Detroit show X' (do they?). Walton critical question for example scheme.,Example representativeness unclear,(none),"The move addresses representativeness (cites that the examples are typical, or notes selection criteria), OR uses single-case reasoning, OR does not use example reasoning.",not observed / did not fire,(none),Example representativeness unclear; Rep?; This move uses examples without showing they are representative.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,consequence_probability_unclear,Consequence probability unclear,Prob?,future_source,ai_classifier,This move predicts consequences without addressing their probability.,Does this move predict consequences without addressing the probability that those consequences will occur?,The move predicts an outcome ('X will lead to Y') without giving any sense of how likely Y is. Walton critical question for consequence + slippery-slope schemes.,Consequence probability unclear,(none),"The move addresses probability (cites studies, gives base rates, hedges with modal language), OR is descriptive rather than predictive.",not observed / did not fire,(none),Consequence probability unclear; Prob?; This move predicts consequences without addressing their probability.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,definition_boundary_unclear,Definition boundary unclear,Bound?,future_source,ai_classifier,This move applies a definition without showing the case fits within boundaries.,Does this move apply a definition to a case without showing the case clearly falls within the definition's boundaries?,The move applies a definition but the boundary case is debatable: 'libraries are infrastructure' — is this case clearly within the definition? Walton critical question for definition scheme.,Definition boundary unclear,(none),"The move addresses the boundary explicitly (cites why the case fits), OR uses a clear case, OR does not use definition reasoning.",not observed / did not fire,(none),Definition boundary unclear; Bound?; This move applies a definition without showing the case fits within boundaries.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,criterion_weighting_unclear,Criterion weighting unclear,Weight?,future_source,ai_classifier,This move applies multiple criteria without showing how they are weighted.,Does this move apply multiple decision criteria without showing how they are weighted against each other?,The move invokes more than one criterion (cost AND effectiveness; equity AND efficiency) but does not say how to weight them when they conflict.,Criterion weighting unclear,(none),"The move addresses the weighting (provides a weighting rule), OR uses a single criterion, OR does not invoke decision criteria.",not observed / did not fire,(none),Criterion weighting unclear; Weight?; This move applies multiple criteria without showing how they are weighted.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,alternative_explanation_available,Alternative explanation available,Alt expl?,future_source,ai_classifier,This move infers a cause without addressing alternative explanations.,Does this move infer a cause from observed effects without addressing plausible alternative explanations?,The move infers cause from effect (abductive reasoning) but does not address alternatives that could account for the same effect. Standard critical question for abductive reasoning.,Alternative explanation available,(none),"The move addresses alternatives (rules them out, weighs them), OR does not use abductive reasoning, OR uses controlled comparison that addresses confounds.",not observed / did not fire,(none),Alternative explanation available; Alt expl?; This move infers a cause without addressing alternative explanations.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,counterexample_available,Counterexample available,CE?,future_source,ai_classifier,This move advances a generalization where counterexamples are known.,Does this move advance a generalization where there are known counterexamples not addressed in the move?,"The move makes a generalization (X is universally true, X always happens) but a counterexample exists in the public record. Standard critical question for generalization claims.",Counterexample available,(none),"The move addresses known counterexamples (rules them out, explains them as edge cases), OR avoids generalization, OR no known counterexamples exist.",not observed / did not fire,(none),Counterexample available; CE?; This move advances a generalization where counterexamples are known.,future-source (not rendered in v1)
F,critical_question,Questions worth asking,true,scope_limit_unstated,Scope limit unstated,Scope?,future_source,ai_classifier,This move makes a claim without stating its scope limits.,"Does this move make a claim without stating the population, time window, or setting limits within which the claim holds?",The move states a claim without scope qualifiers: 'X is true' (everywhere? always? for all people?). Pairs with Family H claim_specificity_low.,Scope limit unstated,(none),"The move scopes the claim explicitly (in cities of >100K; over the 2015-2020 window; for non-emergency contexts), OR makes a universal claim that is genuinely intended as universal.",not observed / did not fire,(none),Scope limit unstated; Scope?; This move makes a claim without stating its scope limits.,future-source (not rendered in v1)
