family_key,family_status,boolean_flag,plain_language,flag_category,schema_status,primary_dimension,default_dh_hint,migration_recommendation,why_it_may_improve_engagement
thread_topology,frozen_display_only_existing_family,branching_clutter_risk,Branching clutter risk,topology,existing_or_planned_family_boolean,uncertainty_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,timeline_card_mismatch_risk,Timeline/card mismatch risk,topology,proposed_new_boolean,information_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,branch_needs_room_grouping,Branch needs room grouping,topology,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,contains_identity_reference,Contains identity reference,sensitivity,existing_or_planned_family_boolean,informant_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,contains_health_claim,Contains health-related claim,sensitivity,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,contains_legal_claim,Contains legal claim,sensitivity,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,contains_election_claim,Contains election claim,sensitivity,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,uses_personal_attack,Uses personal attack,face_attack,existing_or_planned_family_boolean,informant_related,DH1,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,requires_composer_care,Requires composer care,sensitivity,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,mentions_private_person,Mentions private person,sensitivity,existing_or_planned_family_boolean,informant_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,high_face_threat,High face-threat language,face_attack,existing_or_planned_family_boolean,informant_related,DH1,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,public_claim_about_protected_attribute,Public claim about protected attribute,sensitivity,proposed_new_boolean,informant_related,DH3,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
sensitive_composer,frozen_display_only_existing_family,needs_private_composer_guidance_only,Needs private composer guidance only,sensitivity,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
